HEAT/HOT WATER,Noise - Residential,Illegal Parking,Blocked Driveway,Street Condition,UNSANITARY CONDITION,Water System,Noise - Street/Sidewalk,PAINT/PLASTER,Noise,PLUMBING,Noise - Commercial,Street Light Condition,Homeless Person Assistance,DOOR/WINDOW,Dirty Conditions,Sanitation Condition,WATER LEAK,Sewer,Missed Collection (All Materials)
3151,13468,1994,2246,679,552,469,3602,298,1503,318,3720,426,178,249,208,167,237,180,49
2732,11650,1608,1868,484,523,343,2946,253,1552,289,3195,357,182,223,130,115,198,130,46
2391,9774,1301,1621,383,439,313,2411,210,1557,218,2810,283,138,221,130,88,168,79,33
2155,7882,1049,1267,294,478,243,1803,237,1106,239,2230,204,149,186,122,73,111,81,19
1825,6132,786,1044,256,374,176,1618,145,774,174,1756,190,132,151,118,76,109,72,15
1546,4905,624,847,158,269,160,1137,128,574,130,1291,184,97,91,101,47,92,55,9
1383,3921,640,746,129,234,132,928,94,539,109,962,159,98,102,65,39,69,40,8
1379,2983,472,671,108,222,95,712,106,461,125,607,124,67,91,63,37,73,33,9
1473,2353,489,691,81,250,117,660,129,408,131,443,124,72,92,65,37,89,39,12
1802,1925,673,678,113,199,126,493,101,456,101,235,145,107,88,63,35,95,52,7
2286,1574,722,914,109,274,138,373,104,363,160,193,174,124,89,65,68,104,52,15
2689,1323,931,1252,299,253,202,251,124,496,184,170,206,169,106,90,107,108,82,17
3925,1157,1171,1711,932,353,762,214,201,719,292,259,222,182,142,170,213,187,2188,29
4652,1090,1736,2177,997,450,571,190,264,1121,326,366,246,239,195,355,443,207,219,58
5726,1131,2595,2765,3728,662,847,211,415,1233,453,312,230,832,241,555,720,328,398,118
6258,1305,3229,3048,2217,1012,1374,307,627,1569,646,245,368,2137,370,792,1184,413,629,194
6411,1325,3596,3647,2761,1265,1712,247,837,1574,754,218,487,3894,493,1133,1752,524,839,3778
6442,1355,4023,3613,3250,1876,1864,299,1406,1928,1182,232,943,4116,860,1196,1486,695,963,2811
6617,1545,4116,3669,3119,2376,2070,249,1770,2002,1465,284,1328,3693,1066,1346,1738,919,1163,2550
7033,1605,3991,3455,3352,3133,2289,293,2767,1931,2102,293,1306,3473,1488,1414,1682,1317,1247,2329
6747,1720,3887,3246,3202,3172,2326,335,2934,1764,2288,321,2716,3008,1601,1481,1637,1314,1347,1888
6457,1658,3398,3150,3168,3445,2395,407,2925,1558,2261,323,5282,2753,1615,1401,1472,1380,1401,1699
6250,1804,3410,2955,3168,3451,2381,478,3093,1410,2260,318,6488,2250,1622,1447,1534,1403,1335,1506
5969,1883,3800,2888,3081,3704,2401,558,3097,1307,2428,365,6674,1918,1785,1402,1413,1427,1231,1277
6102,1939,3801,2733,3167,3453,2413,614,3138,1135,2350,332,5588,1357,1751,1309,1374,1372,1193,1179
5746,2073,3599,2671,2943,3460,2303,557,2920,995,2279,334,2355,1127,1644,1255,1195,1228,1227,1043
5346,2138,3102,2525,3009,3299,2272,589,2752,1099,2252,299,1585,997,1608,1175,1135,1288,1092,863
5111,2153,2791,2400,3558,3237,2269,666,2620,1069,2134,345,2351,893,1513,1167,1102,1190,1077,837
4924,2246,2699,2468,3592,3030,2267,651,2371,1024,2111,335,3072,747,1493,1155,1260,1192,1066,748
4925,2418,2639,2381,5385,3003,2301,733,2340,1088,1968,356,2177,646,1478,1168,1031,1219,1111,738
5036,2565,2520,2323,4013,2901,2201,734,2387,1068,1971,366,1896,511,1523,1131,1082,1119,1148,738
5117,2589,2436,2290,3201,3005,2233,760,2331,952,1850,377,1834,465,1451,1197,991,1162,1041,634
5425,2843,2466,2279,2713,2958,2357,777,2214,941,1952,441,1389,422,1403,1123,1010,1125,1043,646
5399,2871,2711,2357,2653,2698,2220,765,1982,840,1715,534,1346,384,1299,1062,943,1004,986,605
5631,3185,2769,2588,2128,2384,2161,998,1722,861,1561,647,1148,471,1222,953,837,953,891,496
5442,3618,2590,2554,1996,2222,2087,1049,1615,793,1504,558,1031,449,1080,865,854,863,853,503
5605,3978,2647,2814,1784,1967,1976,1152,1314,1082,1291,585,1175,458,915,905,811,745,713,395
5522,4437,2792,3123,1751,1669,1981,1326,1214,1157,1168,594,1226,459,750,804,755,793,643,354
5859,4952,2626,3118,1493,1630,1696,1478,1013,1189,1145,730,1178,410,718,744,680,691,575,336
6096,5701,2868,3438,1400,1586,1650,1717,1003,1215,1097,805,1143,387,672,641,608,610,526,290
6123,6347,2812,3451,1257,1367,1486,1872,852,1271,915,1019,1410,346,631,529,472,612,486,255
6204,7235,3057,3616,1092,1285,1415,2327,754,1402,815,1356,1503,374,563,486,434,571,441,247
5974,8490,4321,3731,1039,1171,1218,2667,725,1587,744,1698,1634,352,499,441,455,510,390,159
5654,9388,3907,3522,980,1134,1117,3008,638,1700,751,1886,1469,454,508,427,416,463,341,160
5290,12651,3539,3425,840,1033,921,3560,539,1784,644,2775,1155,572,432,396,355,430,338,121
4649,13131,3107,3203,851,1003,850,3906,462,1900,565,3322,956,432,419,383,303,409,311,92
4208,14865,2769,2946,733,728,694,4075,409,1920,488,3998,802,373,287,358,289,301,243,104
4480,14044,2571,2671,981,860,619,4065,485,1727,480,3998,651,223,355,267,254,399,214,77
3151,13468,1994,2246,679,552,469,3602,298,1503,318,3720,426,178,249,208,167,237,180,49
